,TARİH,Saat (T.S.),YER,ŞİDDET,MAG (Ms),CAN KAYBI,HASARLI BİNA
83,15.12.2000,18:44,Sultandağı (AFYON),VII,5.8,6,547
84,25.6.2001,16:28,OSMANİYE,VII,5.5,-,66
85,3.2.2002,09:11,Çay - Sultandağı (AFYON),VII,6.4,44,622
86,27.1.2003,07:26,Pülümür (TUNCELİ),VII,6.2,1,50
87,1.5.2003,03:27,BİNGÖL,VIII,6.4,176,6000
88,25.3.2004,21:30,Kandilli-Aşkale(ERZURUM),VII,5.6,9,1280
89,2.7.2004,01:30,Doğubayazıt (AĞRI),VII,5.1,17,1000
90,11.8.2004,18:48,Sivrice (ELAZIĞ),VII,5.9,,
91,25.1.2005,18:44,Hakkari,VII,5.9,,
92,12.3.2005,09:36,Karlıova (BİNGÖL),VI,5.7,,
93,14.3.2005,03:55,Karlıova (BİNGÖL),VII,5.9,,
94,23.3.2005,23:44,Karlıova (BİNGÖL),VI,5.7,,
95,6.6.2005,10:41,Karlıova (BİNGÖL),VI,5.7,,
96,17.10.2005,08:45,Sığacık Körfezi (İZMİR),VI,5.7,,
97,17.10.2005,12:46,Sığacık Körfezi (İZMİR),VII,5.9,,
98,21.10.2005,00:40,Sığacık Körfezi (İZMİR),VII,5.9,,
99,9.2.2007,04:22,Sivrice (ELAZIĞ),VI,5.5,,
100,21.2.2007,13:05,Sivrice (ELAZIĞ),VII,5.9,,
101,20.12.2007,11:48,Bala (ANKARA),VII,5.7,,
102,27.12.2007,01:47,Bala (ANKARA),VI,5.5,,
103,8.3.2010,04:32,Başyurt-Karakoçan (ELAZIĞ),VII,6.1,42,
104,8.3.2010,09:47,Başyurt-Karakoçan (ELAZIĞ),VI,5.6,,
105,19.5.2011,23:15,Simav (Kütahya),VI,5.9,3,
106,22.9.2011,06:22,Cengerli-Refahiye (ERZİNCAN),VI,5.6,,
107,23.10.2011,13:41,Van,VIII,7.2,644,17005
108,23.10.2011,13:56,Van Gölü,VI,5.6,,
109,23.10.2011,14:32,Halkalı (VAN),VI,5.6,,
110,23.10.2011,23:45,Mollakasım (VAN),VI,5.9,,
111,25.10.2011,17:55,Değirmenözü (VAN),VI,5.6,,
112,9.11.2011,21:23,Edremit (VAN),VI,5.6,40,
113,10.6.2012,15:44,Ölü Deniz Açıkları (AKDENİZ),VI,6.0,,
114,14.6.2012,08:52,Yeniköy-Silopi (ŞIRNAK),V,5.5,,
115,8.1.2013,16:16,Kuzey Ege Denizi,VI,6.2,,
116,15.6.2013,19:10:59,GİRİT ADASI-AKDENİZ,VI,6.0,,
117,17.6.2013,00:39:06,GİRİT ADASI-AKDENİZ,VI,5.7,,
118,28.12.2013,17:21:03,ANTALYA KÖRFEZİ-AKDENIZ,VI,6.0,,
119,24.05.2014,12:25:01,GÖKÇEADA AÇIKLARI- EGE DENİZİ,VII,6.8,,
